EDR#,Findspot
EDR081345,Decumanus Maximus
EDR081346,Decumanus Maximus
EDR081347,Decumanus Maximus
EDR081348,Decumanus Maximus
EDR081349,Decumanus Maximus
EDR102191,Suburban Baths
EDR140978,Ramp
EDR140979,Ramp
EDR140980,Ramp
EDR140982,Ramp
EDR140983,Ramp
EDR140986,Ramp
EDR140987,Ramp
EDR143636,Suburban Baths
EDR154179,Suburban Baths
EDR154185,Suburban Baths
EDR154186,Suburban Baths
EDR154189,Suburban Baths
EDR154190,Suburban Baths
EDR154368,Suburban Baths
EDR154369,Suburban Baths
EDR154370,Suburban Baths
EDR154371,Ramp
EDR154372,Ramp
EDR154373,Ramp
EDR154429,Ramp
EDR154430,Ramp
EDR154431,Ramp
EDR154432,Ramp
EDR154433,Ramp
EDR154434,Ramp
EDR154537,Ramp
EDR154538,Ramp
EDR154539,Ramp
EDR154540,Ramp
EDR154541,Ramp
EDR154542,Ramp
EDR154563,Ramp
EDR154575,Water Tower
EDR154592,Decumanus Maximus
EDR156779,Ramp
EDR156980,Decumanus Maximus
EDR156982,Decumanus Maximus
EDR156998,Suburban Baths
EDR159869,Decumanus Maximus
EDR159880,Decumanus Maximus
EDR140034,Central Baths
EDR140061,Central Baths
EDR140062,Central Baths
EDR140145,Central Baths
EDR140151,Central Baths
EDR140248,Central Baths
EDR140709,Central Baths
EDR140711,Central Baths
EDR144356,Central Baths
EDR145935,Central Baths
