EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Latin Description of Figural Graffito,English Description of Figural Graffito,
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,Latin Description ,,
"1) from agp.wlu.edu, Go through I.8.17, then VII.12.18 - look for any figural graffiti and add to spreadsheet ",,,,,,,,,,,,
"2) Go through ""AGP Herc and Pompeii figural graffiti Google sheet"" and incorporate that data into this sheet",,,,,,,,,,,,
EDR124976,08215 (nota),,?,Pompeii,I,8,17,Casa dei Quattro Stili,Animals,equus ad sin. incedens,horse trotting to the left,
EDR124972,08215 (nota),,?,Pompeii,I,8,17,Casa dei Quattro Stili,Human figures,viri facies ad sin.,face of a man turned to the left,
EDR147688,05428,,5,Pompeii,locus incertus,,,locus incertus,,word RECEPTUS written in shape of boat,((:word RECEPTVS written in shape of boat)),
EDR124973,08215 (nota),,133,Pompeii,I,8,17,Casa dei Quattro Stili,,circulus continens florem,compass-drawn circle containing a flower,
EDR124974,08215 (nota),,66,Pompeii,I,8,17,Casa dei Quattro Stili,,circulus continens lineae curvusque,compass-drawn circle containing lines and curves,
EDR124976,08215 (nota),,1432,Pompeii,1,8,17,Casa dei Quattro Stili,Animals,equus ad sin. incedens,horse trotting to the left,
EDR124977,08215 (nota),,1900,Pompeii,1,8,17,Casa dei Quattro Stili,Boats,navis cum ramis maloque,ship with oars and mast,
EDR124978,08215 (nota),,1901,Pompeii,1,8,17,Casa dei Quattro Stili,Boats,navis cum ramis,ship with oars,
EDR125002,08222 (nota),,498,Pompeii,1,8,17,Casa dei Quattro Stili,,viri facies ad sin.,face of a man to the left,
EDR145438,02181,,N/A,Pompeii,7,12,18,Lupanar,,phalli figura,figure of phallus,
EDR149285,02237,,N/A,Pompeii,7,12,18,Lupanar,,phallus,phallus,
EDR149973,02248 (nota),,531,Pompeii,7,12,18,Lupanar,Human figures,hominis facies,,There are two Langner numbers with these: the facies is 531 and the Psittacus is 1768
EDR159439,02248 (nota),,1768,Pompeii,7,12,18,Lupanar,Animals,psittaci ut vid. figura,,
EDR150010,02254,,N/A,Pompeii,7,12,18,Lupanar,,phallus,phallus,how do we indicate it's with text?
EDR147717,1764,,1,Pompeii,VII,7,32,facade,Boats,nomen NEPTVNUS in forma navis scriptum,name NEPTVNUS written in the shape of a boat,
EDR147725,9039,,2,Pompeii,VII,6,38,,Boats,nomen NEPTVNVS in forma navis scriptum,name NEPTVNVS written in shape of boat,
EDR147780,8991,,4,Pompeii,IX,14,c,,Boats,verba in forma navis scripta,phrase written in shape of boat,
EDR147686,4225,,7,Pompeii,V,2,g,Casa di N. Fufidius Successus,Boats,verba in forma navis scripta,phrase written in the shape of a boat,
EDR147687,4755,,8,Pompeii,VII,7,5,Casa di Trittolemo,Boats,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in the shape of a boat,
EDR147777,4742,,9,Pompeii,VII,7,5,Casa di Trittolemo,Boats,verba CRESCES SPATALO in forma navis scripta,phrase CRESCES SPATALO written in shape of boat,
EDR147779,4716,,13,Pompeii,VII,7,5,Casa di Trittolemo,Boats,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in shape of boat,
EDR147916,8161,,14,Pompeii,I ,7,facade,,Boats,nomen RESTITVTVS in forma navis scriptum,name RESTITVTVS written in shape of boat,
EDR147918,4229,,15,Pompeii,V,2,g,Casa di N. Fufidii Successi,Boats,nomen in forma navis scriptum,name written in shape of boat,
EDR147920,4230,a,16,Pompeii,V,2,g,Casa di N. Fufidii Successi,Boats,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,
EDR147917,4230,b,17,Pompeii,V,2,g,Casa di N. Fufidii Successi,Boats,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,
EDR147919,4110,,18,Pompeii,V,2,4,Casa del Triclinio,Boats,nomen SILETIOLLVS in forma navis scriptum,name SILETIOLLVS written in shape of boat,
EDR147921,4116,,19,Pompeii,V,2,4,Casa del Triclinio,Boats,nomen SILETIOLVS in forma navis scriptum,name SILETIOLLVS written in shape of boat,
