EDR,CIL#,Varone #,Langner #,Insula,Text of Inscription,Caption for graffito,Translation,Commentary ,Tags / Keywords,New Tag Ideas,Is Textual/Translation Greatest Hit?,Commentary for Greatest Hits Page,Is Figural Greatest Hit?,Image for Greatest Hit,Morpholio Tracing,Choose Photos for EDR,EDR images on line,Images Not On-Line,Update EDR apparatus?,Notes,,,,,
Use blue for recommendations for graffiti to protect,,,,only in arabic numerals for sorting,Do not change this field right now. ,,Do we put the translations in quotation marks?  How do we handle letters/words that can't be read?,,"Use graffiti tags in spreadsheet only - if you have other tags to suggest, write them down in a list ",Write ideas for tags that are currently not on the Tags List,Y if it is; blank  if it's not,,Y if it is; blank if it's not,"which EDR image you want to display for the greatest hit, e.g., 144514-2","Choose one option for each extant graffito and update as necessary: not started, in progress, or complete. If photo doesn't exist, put - - - ; if you create two drawings, then put ""graffito and context""","Put in cell one of the following: no access (2016), plaster lost, couldn't find, or give number of photo(s) chosen ","List all used: Photo (HGP 2014 or HGP 2016), Photo (HGP - Enhanced), Photo (Varone), Apograph (CIL), Apograph (Langner), Apograph (author), Entry (CIL), None Available;  Cell will be green if ""Fonte dell'Immagine"" has been corrected","List all used: Photo (HGP) / Photo (Varone), Apograph (CIL) / Apograph (Langner), Apograph (author) none available; If there's a photo in Varone and it's poor quality put Photo (Varone - don't add), ",,,,,,,
EDR159778,5450,,,locus incertus,,Graffito mentioning animals,"He sent, a second time, female lambs (...other letters here...) ",,"Animals, Lambs",,,,,,,,,,,,,,,,
EDR145941,10493,,187,,va(le?) / [- - -]rio [I?]sidoru / IX ((:viri caput)),Greetings (?) to Isidorus ,"Greetings . . . to Isidorus(?). ""9""",This graffito is a cluster and has both text and art.  ,"People, Personal Name, Male, Greetings, Greeting, Roman Numerals, Number, Human Figures, Head, Writing, Poetry, Flourish"," text-and-drawing, multi-line",,,,,- - -,plaster lost,Apograph (CIL),,,,description approved by RRB,,,,"Cognomen, Greeting, Roman Numeral, Head, Flourish"
EDR140055,10495,a,,3,IIIIIIIIIIIIIIIIIIIIIIIIIIIIII,Tally marks,"""30""",All tally marks are connected by a single line below. There are thirty talley marks.These tally marks occur in close proximity to CIL IV.10495b and CIL IV.10495c.,"Roman Numerals, Number, Tally Mark",,,,,,Complete,no access (2016),HGP 2014,Photo (Varone- don't add),,,description unapproved by RRB,,,,
EDR140246,10495,b,,3,I,Tally mark,"""1""",This single tally mark occurs in close proximity to CIL IV.10495a and CIL IV.10495c.,"Roman Numerals, Number, Tally Mark",,,,,,,no access (2016),None Available,,,,shakey/unsure description unapproved by RRB,,,,
EDR140136,10495,c,,3,XI,Tally marks,"""11""","Because of this graffito's close proximity to CIL IV.10495 a. and CIL IV.10495b, we have tagged it with ""Tally mark"" instead of ""Number"". ","Roman Numerals, Number, Tally Mark",,,,,,,no access (2016),HGP 2014,Photo (Varone- don't add),,,Questions for RRB,,,,
EDR151948,10496,,,3,Rẹmnius Rufus,Graffito naming Remnius Rufus,Remnius Rufus,"CIL reads this inscription as ""Remnius"", but it is possible that the two m's of Remnius are in nexus. This reading would make the graffito the name Remius Rufus, which could make sense because he is a well known benefactor of Herculaneum. Marcus Remmius Rufus is both the name of a father and son who were duovirs together at least twice. The name of both the father and the son, Remii Rufi, are named in  a lengthy Herculanean stone inscription CIL X. 1453.They were both given the honors of diligenter for fixing the weights of the grain scale in the city, which is the reason for the long inscription. Remmius Rufus senior is also named in CIL. X 1455. ","People, Personal name, Male, Writing, Flourish, Cognomen, Nomen Gentilicium ","gentilicium, cognomen",Y,"This graffito consists simply of a name. Names are quite common among the graffiti of Pompeii and Herculaneum. Remmius Rufus was a well known benefactor in Herculaneum. Marcus Remmius Rufus is both the name of a father and son who were duoviri together at least twice. The name of both the father and the son, Remmii Rufi, are named in a lengthy stone inscription in Herculaneum: CIL X.1453. They were both given the title of diligenter for fixing the weights of the grain scale in the city, which is the reason for the long inscription. Remmius Rufus senior is also named in CIL X.1455. Two freedmen of the Remmius family, M. Remmius Nicanor and M. Remmius ???, are named in the album of Herculaneum, which consists of a long list of names inscribed on several marble plaques.",,,,no access (2016),Apograph (CIL),,,,Running tag revision (rough draft),,,,
EDR140046,10497,,,3,Col/((denarius))/ono,Graffito naming Colonus,A denarius to (for?) Colonus,The symbol 𐆖 represents a denarius.,"People, Personal name, Male, Roman Numerals, Number, Money, Denarius","multi-line, monetary symbols",,"CIL IV reads this inscription as ""Remnius Rufus"", but it is possible that the two M's of the name Remmius/Remnius are in nexus.",,151948,In Progress,IMG_5914,HGP 2016,Photo (HGP); Photo (Varone - don't add),,,"Green-light (checked by Dr. B, good to go)",,,,
EDR140258,10498,a,,3,Mus nequam,Graffito,---,"Mus could be a name or the animal mouse, the meaning is unclear here. The name ""Mus"" appears elsewhere in Herculaneum, CIL IV.10678 and CIL IV.10643c. If Mus is a name, it would be an insult becuase the graffito would be translated as ""useless Mus"". 4 graffiti appeared together. One says ""mus nequam."" Three others are false starts on ""mus nequa.""   ","Animals, Animal",mouse,,,,,- - -,couldn't find,None Available ,,,,Graffiti to come back to,,,,
EDR151800,10498,b,,3,S nequam,Graffito,---,"4 graffiti appeared together. We filled in ""mu"" before the ""s"" to match the ""mus"" of the others. For full commentary, see CIL IV.10498a.","Animals, Animal",mouse,,,,,,couldn't find,None Available,,,,Drawing not on AGP website,,,,
EDR151801,10498,c,,3,Mus,Graffito,---,"4 graffitI appeared together. It is unclear whether we should supply ""nequam."" For full commentary, see CIL IV.10498a.","Animals, Animal",mouse,,,,,,couldn't find,None Available,,,,Photo is online ,,,,
EDR151802,10498,d,,3,MMMMus,Graffito,---,"4 graffiti appeared together. It is unclear whether we should supply ""nequam."" This inscription begins with several false starts. 3 ""m""s appear. For full commentary, see CIL IV.10498a.","Animals, Animal, False start",mouse,,,,,,IMG_5776,HGP 2016,Photo (Varone- don't add),,,,,,,
