"EDR092812";
"EDR072296";"Textus secundum (3)<br>v. 1: litterae CR scriptae sed tum cancellatae."
"EDR071662";"Textus secundum (1)"
"EDR071808";
"EDR073222";
"EDR073314";"Textus secundum (5); v. 2 omittitur (1)"
"EDR073610";
"EDR073766";"Textus secundum (3)"
"EDR074234";"Textus secundum (2),(4)"
"EDR158675";"Textus secundum (1)<br>v. 3: Idem Celadus in multis titulis in hoc aedificio notus est (e.g. CIL 04, 04352, 04356). Thraex unum genus gladiatorum est, velut retiarius, hoplomachus, etc."
"EDR152964";"Textus secundum (2), mensurae secundum (1). Contulerunt et mensuras prehenderunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.  <br>v. 1-3: paucae litterae remanent a. 2016 (HGP).<br>v. 1: lat. 9,1; litt. alt. 2,3-3,2<br>v. 2: lat. 14,5; litt. alt. 1,4-2,0<br>v. 3: lat. 7,2; litt. alt. 1,9-2,8"
"EDR153355";"Textus et mensurae secundum (1)<br>vv. 1-2:  II pro littera E scriptum <br>v. 1: lat.:18,5; litt. alt.: 0,3-1,7 (1)<br>v. 2: lat.:18,0; litt. alt.: 0,3-1,3 (1)<br>De eadem sententia in Pompeiis vide CIL 04, 01811 et 01870 Add. p. 464."
"EDR152963";"Textus et mensurae secundum (1); contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>Prope EDR154964, EDR154590, et EDR154591"
"EDR152931";"Textus et mensurae secundum (1)<br>Contulerunt sed non invenerunt Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski (HGP) a. 2016.<br>v. 1: CABINIO pro SABINIO scriptum<br>v. 3: Secunda littera S retrogradum scriptum est.<br>v. 1: lat.: 1,7; litt. alt.: 1,3-1,4<br>v. 2: lat.: 2,3; litt. alt. 0,6-1,2<br>v. 3: lat.: 1,5; litt. alt. 1,1"
"EDR152815";"Textus et mensurae secundum (1)<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016."
"EDR152929";"Textus et mensurae secundum (1), sed alterae litterae in titulo videntur.<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>v. 1: (H)ILASU(S) fortasse pro (H)ILARU(S)"
"EDR152999";"Textus et mensurae secundum (1)<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>v. 1: fortasse nomen QUARTUS est, aut numerus ordinalis.<br>Prope EDR154590 et EDR154591"
"EDR151899";"Textus et mensurae secundum (1)<br>v. 1: lat.: 0,6; litt. alt.: 1,1<br>v. 2: lat.: 5,2; litt. alt.: 1,0-1,8"
"EDR153000";"Textus et mensurae secundum (1). <br>Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski contulerunt et mensuras prehenderunt (HGP) a. 2016. <br>v. 1: Litterae solae M, A, T, U videntur a. 2016 (HGP)."
"EDR153110";"Textus et mensurae secundum (1)"
"EDR076752";
"EDR076753";
"EDR076754";
"EDR076755";"Textus secundum (1-3)<br>Signaculum huius viri (C. Iuli Philippi) in eadem casa inventum est, cf. EDR076756. C. Iulius Philippus etiam in programma EDR147620 invenitur."
"EDR076757";
"EDR076758";
"EDR077698";"Textus secundum (6), periit (11).<br>v. 2: benef(iciarius) ac miles (1)<br>v. 8: seserunt' (= sederunt?)  (9)"
"EDR079495";"Textus secundum (2) (6), aliter (1), (3-5)<br>v. 1: Popilus (1)"
"EDR079713";
"EDR079714";
"EDR148672";"Textus et mensurae secundum (1)<br>v. 1: II scriptum pro littera E<br>v. 2: prima I aut P aut F esse potest"
"EDR148654";"Textus secundum (1). <br>v.1: lectio ultimae litterae non satis certa est. Fortasse ""Auge"" sit (1). Etiam ""Aug(usti?) <:servus>"" possit.<br>"
"EDR127829";"Textus secundum (1)"
"EDR127413";"Textus secundum (2)"
