EDR#,Text
EDR#,Text
EDR112869,"&#916;&#953;&#959;&#947;&#8051;&#957;&#951;&#962; &#8001; &#954;&#965;&#957;&#953;&#954;&#8056;&#962; &#966;&#953;&#955;&#8057;&#963;&#959;&#966;&#959;&#962;<br>&#7984;&#948;&#8060;&#957; &#947;&#965;&#957;&#945;&#8150;&#954;&#945; &#8017;&#960;&#8056; &#960;&#959;&#964;&#945;&#956;&#959;&#8166; &#966;&#949;=<br>&#961;&#959;&#956;&#8051;&#957;&#951;&#957;, &#949;&#7990;&#960;&#949;&#957;&#903; &#7940;&#966;&#949;&#962; &#966;&#8051;&#961;&#949;&#963;&#963;&#952;&#945;&#953;<span class='testo_nascosto'>(:&#966;&#8051;&#961;&#949;&#963;&#952;&#945;&#953;)</span><br>&#964;&#8056; &#954;&#945;&#954;&#8988;&#8056;&#8989;&#957; &#8017;&#960;&#8056; &#954;&#945;`&#954;&#959;&#8166;´ &#922;&#921;&#933;&#931;."
EDR073355,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297;<br>hic cacavit bene
EDR081345,C(aius) Messenius Eunomus im(:in) curia
EDR081346,Mamium(:Mammium) Anicetum<br>rogamus guria(:curia) Augustiana
EDR081347,"P(ublius) Arriûs
Spaerus"
EDR081348,"Arrius
P(ubli) f(ilius)"
EDR081349,I&#768;n curia {Aus} Augustiana
EDR102191,Hermeros Prìmigeniae dominae:<br>venì Puteolos in vìco Tyaniano et quaere<br>a Messio numulario(:nummulario) Hermerotem Phoebì
EDR127408,((:gladiatores inter se dimicantes))<br>Euhodus<br>et Satura<br>Puteolani.
EDR129306,"Lollian(us)<br>Euodus(:Euhodus)</span>,<br>Priscus,<br>Musicus,<br>5 Atimetus,<br>[Am?]p&#803;e&#803;lus,<br>[---]c&#803;c&#803;us,<br>G&#818;l&#818;aucus,<br>C&#818;o&#818;mmuni&#818;s&#818;"
